Decade,Occupation,Total Weight,Female,Male
1900,the accountant,12404.30000000003,0.0776488798239318,0.922351120176068
1900,the administrator,39762.610000000015,0.034090066019308,0.965909933980692
1900,the architect,21627.060000000038,0.0210518674290448,0.978948132570955
1900,the artist,26011.100000000013,0.4727481728954182,0.5272518271045816
1900,the athlete,13826.330000000007,0.031169514976136,0.9688304850238642
1900,the attendant,23802.56000000001,0.5122848130621244,0.4877151869378755
1900,the auctioneer,2854.829999999997,0.0,1.0
1900,the author,1857.93,0.4577029274515186,0.5422970725484814
1900,the bailiff,7455.210000000001,0.0130485928632459,0.9869514071367539
1900,the baker,78119.37999999902,0.05387011520060771,0.9461298847993922
1900,the bankteller,3965.319999999997,0.0197487214146651,0.9802512785853348
1900,the bartender,91935.32999999812,0.0116251282287236,0.9883748717712765
1900,the blacksmith,219371.83000000505,0.0043688836438114,0.9956311163561886
1900,the boilermaker,29519.200000000124,0.0046884739423832,0.9953115260576167
1900,the bookbinder,24336.64999999999,0.419960019148075,0.580039980851925
1900,the bootblack,7860.529999999986,0.0328641961801558,0.9671358038198442
1900,the broker,121051.60999999932,0.0255378676913096,0.9744621323086904
1900,the cabinetmaker,40297.0900000001,0.0078196713459954,0.9921803286540044
1900,the carpenter,606551.3399999746,0.0065937534652881,0.9934062465347119
1900,the cashier,24862.420000000016,0.5411605145436371,0.4588394854563629
1900,the chemist,8387.020000000015,0.0213496569699368,0.9786503430300633
1900,the clergy,119679.20999999924,0.10058589123374131,0.8994141087662587
1900,the clerical,288935.16999999987,0.1335046889584262,0.8664953110415737
1900,the clerk,42195.52999999988,0.0191942132259033,0.9808057867740966
1900,the compositor,114349.24999999984,0.1096122624328537,0.8903877375671462
1900,the conductor,82475.06999999983,0.0103175420160298,0.9896824579839699
1900,the conservationist,1451.2199999999998,0.0271151169360951,0.9728848830639047
1900,the constable,8481.32,0.004674979838044,0.995325020161956
1900,the cook,278570.6699999992,0.7392663771817759,0.2607336228182241
1900,the craftsperson,110598.72000000016,0.019076531807963,0.980923468192037
1900,the dancer,1084.46,0.5085480331224757,0.4914519668775243
1900,the dentist,29086.869999999988,0.0316799298102546,0.9683200701897452
1900,the designer,4693.25,0.1336706972780056,0.8663293027219943
1900,the dietitian,19.52,1.0,0.0
1900,the doctor,130245.16000000115,0.0486126317476976,0.9513873682523024
1900,the doorkeeper,58397.95999999988,0.0087504769002205,0.9912495230997794
1900,the draftsperson,11411.210000000015,0.024222672267007504,0.9757773277329924
1900,the driver,545988.0099999985,0.0100963206133409,0.9899036793866592
1900,the electrician,50326.05999999992,0.010787452862393698,0.9892125471376062
1900,the eletrotyper,2783.2999999999965,0.014263643875974499,0.9857363561240254
1900,the engineer,256071.07000000044,0.005128693374069899,0.99487130662593
1900,the entertainer,17806.030000000042,0.47840647241412,0.5215935275858801
1900,the farmer,5824509.990000187,0.060634594258802306,0.9393654057411976
1900,the fireperson,80901.18999999989,0.0055933664263776,0.9944066335736224
1900,the gardener,57185.26000000014,0.0306325441206352,0.9693674558793647
1900,the geologist,157.53,0.0,1.0
1900,the guard,58397.95999999988,0.0087504769002205,0.9912495230997794
1900,the housekeeper,2057797.710000006,0.9435037761802156,0.0564962238197843
1900,the huckster,68738.59000000005,0.0404854100149566,0.9595145899850434
1900,the inspector,30933.15000000001,0.0412075718121174,0.9587924281878826
1900,the instructor,8230.199999999995,0.0740419430876528,0.9259580569123472
1900,the janitor,61268.16000000007,0.1870345053613491,0.8129654946386509
1900,the jeweler,51461.189999999886,0.0568216553095645,0.9431783446904356
1900,the judge,97612.2199999994,0.0113615897681663,0.9886384102318336
1900,the laborer,8533583.08000023,0.0981711623530598,0.90182883764694
1900,the lawyer,97612.2199999994,0.0113615897681663,0.9886384102318336
1900,the librarian,224650.2300000016,0.2828979520742057,0.7171020479257944
1900,the lumberjack,38749.21000000001,0.0091428960745264,0.9908571039254737
1900,the machinist,272179.960000007,0.0096586096933805,0.9903413903066194
1900,the mailperson,157867.91999999998,0.0754569389398429,0.924543061060157
1900,the manager,1385639.6800000006,0.0696332613684966,0.9303667386315032
1900,the mason,147901.18000000133,0.0065764181191792,0.9934235818808207
1900,the mechanic,1702348.500000006,0.2964357004455893,0.7035642995544107
1900,the midwife,5713.2199999999975,0.9895768060743328,0.0104231939256671
1900,the milliner,85812.26999999897,0.9535862412216802,0.0464137587783197
1900,the millwright,11404.959999999995,0.008658513488868,0.991341486511132
1900,the molder,91874.9699999986,0.0051286003141008,0.9948713996858993
1900,the musician,95071.90999999984,0.57629219818977,0.42370780181023
1900,the newsperson,36701.54999999998,0.0669772802511065,0.9330227197488936
1900,the nurse,115193.25999999912,0.9364986284787836,0.0635013715212162
1900,the nutritionist,19.52,1.0,0.0
1900,the official,1409030.730000001,0.0683809855587748,0.9316190144412252
1900,the operator,188209.0899999993,0.11693074973158869,0.8830692502684112
1900,the optometrist,19.43,1.0,0.0
1900,the osteopath,389.25,0.34882466281310215,0.6511753371868979
1900,the painter,41456.46999999994,0.0501583950587206,0.9498416049412791
1900,the paperhanger,21187.29999999994,0.0175388086259221,0.9824611913740778
1900,the peddler,68738.59000000005,0.0404854100149566,0.9595145899850434
1900,the pharmacist,54098.46999999986,0.0244034627966373,0.9755965372033626
1900,the photographer,26976.490000000034,0.11129246243673642,0.8887075375632636
1900,the physician,130245.16000000115,0.0486126317476976,0.9513873682523024
1900,the physicist,19.47,0.0,1.0
1900,the pilot,58.97,0.0,1.0
1900,the plasterer,36875.15999999988,0.0084097262222048,0.9915902737777951
1900,the plumber,90527.7299999974,0.005418008382625,0.994581991617375
1900,the police,60504.59999999987,0.0052166281571979,0.994783371842802
1900,the porter,73911.30000000012,0.0148572681037946,0.9851427318962054
1900,the postmaster,22361.039999999997,0.2858494059310302,0.7141505940689696
1900,the professor,9172.229999999998,0.0751485734657766,0.9248514265342234
1900,the proprietor,1373470.9000000006,0.0691922267883506,0.9308077732116494
1900,the retired,92966.66999999904,0.0920437399769197,0.9079562600230804
1900,the sailor,52363.51999999979,0.016324723777164,0.983675276222836
1900,the sales,1024045.3400000044,0.1969993926245478,0.8030006073754522
1900,the salesperson,96613.99999999898,0.8593392261991001,0.1406607738008999
1900,the scientist,9093.580000000016,0.0239223716072217,0.9760776283927779
1900,the secretary,118725.00999999823,0.7285132256463862,0.2714867743536138
1900,the setter,8151.000000000003,0.0121408416145258,0.9878591583854742
1900,the sheriff,7455.210000000001,0.0130485928632459,0.9869514071367539
1900,the shoemaker,11880.040000000008,0.2647651018010039,0.7352348981989961
1900,the smith,55693.280000000144,0.0092404325979723,0.9907595674020278
1900,the soldier,23122.630000000016,0.0221765430662515,0.9778234569337484
1900,the statistician,275.05,0.07176876931467,0.92823123068533
1900,the stereotyper,2783.2999999999965,0.014263643875974499,0.9857363561240254
1900,the student,6971041.480002846,0.5170659076324989,0.4829340923675011
1900,the surgeon,130245.16000000115,0.0486126317476976,0.9513873682523024
1900,the surveyor,6004.360000000001,0.0034308402560805,0.9965691597439194
1900,the tailor,188555.80000000767,0.277105397977671,0.722894602022329
1900,the teacher,441189.89000000106,0.738083118813083,0.2619168811869169
1900,the teamster,1718.21,0.023035601003369696,0.9769643989966302
1900,the technician,1254.1700000000003,0.0153009560107481,0.9846990439892518
1900,the therapist,3227.7900000000004,0.4153956732005488,0.5846043267994512
1900,the toolmaker,8151.000000000003,0.0121408416145258,0.9878591583854742
1900,the tradesperson,1456105.370000002,0.1661976770266281,0.8338023229733719
1900,the typesetter,114349.24999999984,0.1096122624328537,0.8903877375671462
1900,the unemployed,33092.56000000003,0.3094668408850806,0.6905331591149195
1900,the upholsterer,21749.42999999997,0.0609146998335129,0.9390853001664872
1900,the veterinarian,7281.579999999999,0.0078829045344554,0.9921170954655446
1900,the waitstaff,109701.6799999996,0.4143880020798219,0.5856119979201779
1900,the weaver,181611.03000000035,0.5145370851098646,0.48546291489013543
1900,the welder,786.8199999999999,0.0,1.0
1910,the accountant,36011.0,0.089250506789592,0.9107494932104079
1910,the administrator,51058.0,0.0255787535743664,0.9744212464256335
1910,the architect,51358.0,0.0195879901865337,0.9804120098134662
1910,the artist,37725.0,0.4308283631544068,0.5691716368455931
1910,the athlete,20847.0,0.0433155849762555,0.9566844150237445
1910,the attendant,44333.0,0.506710576771254,0.4932894232287461
1910,the auctioneer,3710.0,0.0,1.0
1910,the author,4411.0,0.4998866470188166,0.5001133529811834
1910,the bailiff,10528.0,0.009498480243161,0.9905015197568388
1910,the baker,95476.0,0.045226025388579304,0.9547739746114208
1910,the bankteller,9028.0,0.0222640673460345,0.9777359326539654
1910,the bartender,103505.0,0.0038645476063957998,0.996135452393604
1910,the blacksmith,241211.0,0.0008374410785577,0.9991625589214422
1910,the boilermaker,41316.0,0.0,1.0
1910,the bookbinder,27787.0,0.4621225753049987,0.5378774246950012
1910,the bootblack,11033.0,0.0181274358741955,0.9818725641258044
1910,the broker,217510.0,0.0225966622224265,0.9774033377775736
1910,the cabinetmaker,46131.0,0.0043571567926123,0.9956428432073876
1910,the carpenter,835259.0,0.0020400857698031,0.9979599142301968
1910,the cashier,59776.0,0.5839634635974305,0.4160365364025696
1910,the chemist,15146.0,0.019939257889871904,0.980060742110128
1910,the chiropractor,300.0,0.3333333333333333,0.6666666666666666
1910,the clergy,144626.0,0.1595840305339289,0.8404159694660711
1910,the clerical,682252.0,0.1896264137005094,0.8103735862994905
1910,the clerk,82838.0,0.0363601245805065,0.9636398754194937
1910,the compositor,137046.0,0.1178655342001955,0.8821344657998045
1910,the conductor,119133.0,0.000839397983766,0.9991606020162341
1910,the conservationist,6318.0,0.0158277936055713,0.9841722063944286
1910,the constable,7828.0,0.0,1.0
1910,the cook,190924.0,0.4757442752089836,0.5242557247910163
1910,the craftsperson,80427.0,0.0087408457358847,0.9912591542641151
1910,the dancer,1204.0,0.6661129568106312,0.3338870431893688
1910,the dentist,40137.0,0.0249395819318833,0.9750604180681168
1910,the designer,11539.0,0.3218649796342837,0.6781350203657163
1910,the dietitian,400.0,0.75,0.25
1910,the doctor,140010.0,0.0501321334190415,0.9498678665809585
1910,the doorkeeper,94578.0,0.0042398866544016,0.9957601133455984
1910,the draftsperson,36216.0,0.0138612767837419,0.9861387232162581
1910,the driver,254404.0,0.0051217748148614,0.9948782251851386
1910,the electrician,117751.0,0.0016984993758014,0.9983015006241984
1910,the eletrotyper,4811.0,0.0625649553107462,0.9374350446892538
1910,the engineer,383323.0,0.0018365712467031,0.9981634287532968
1910,the entertainer,34993.0,0.435629983139485,0.5643700168605149
1910,the farmer,6429640.0,0.0496027771383778,0.950397222861622
1910,the fireperson,129894.0,0.0,1.0
1910,the gardener,50950.0,0.0137782139352306,0.9862217860647694
1910,the geologist,301.0,0.0,1.0
1910,the guard,94578.0,0.0042398866544016,0.9957601133455984
1910,the housekeeper,2413105.0,0.940016700475114,0.0599832995248859
1910,the huckster,67394.0,0.0491735169302905,0.9508264830697096
1910,the inspector,72734.0,0.0331069376082712,0.9668930623917288
1910,the instructor,22672.0,0.22097741707833446,0.7790225829216655
1910,the janitor,129996.0,0.2554617065140466,0.7445382934859535
1910,the jeweler,33607.0,0.0567441306870592,0.9432558693129408
1910,the judge,119174.0,0.0042123281923909,0.9957876718076092
1910,the laborer,10904387.0,0.159363016004476,0.840636983995524
1910,the lawyer,119174.0,0.0042123281923909,0.9957876718076092
1910,the librarian,411673.0,0.3931688500338861,0.6068311499661139
1910,the lumberjack,50961.0,0.003924569769039,0.9960754302309608
1910,the machinist,469257.0,0.007051573018623,0.992948426981377
1910,the mailperson,360753.0,0.05783181290245679,0.9421681870975432
1910,the manager,1955899.0,0.0630093885215954,0.9369906114784046
1910,the mason,168819.0,0.0023812485561459,0.997618751443854
1910,the mathematician,101.0,0.0,1.0
1910,the mechanic,2530022.0,0.3413634347843615,0.6586365652156384
1910,the midwife,6016.0,0.983377659574468,0.0166223404255319
1910,the milliner,120061.0,0.9732386037097808,0.0267613962902191
1910,the millwright,16452.0,0.0,1.0
1910,the molder,121867.0,0.0041028334167576,0.9958971665832425
1910,the musician,146911.0,0.6266515100979505,0.3733484899020495
1910,the newsperson,68099.0,0.0839953596969118,0.916004640303088
1910,the nurse,199039.0,0.958184074477866,0.0418159255221338
1910,the nutritionist,400.0,0.75,0.25
1910,the official,1954799.0,0.0594025268071039,0.940597473192896
1910,the operator,359213.0,0.2735953320174938,0.7264046679825062
1910,the optometrist,1105.0,0.090497737556561,0.9095022624434388
1910,the osteopath,2209.0,0.2272521502942508,0.7727478497057492
1910,the painter,61268.0,0.0719951687667297,0.9280048312332704
1910,the paperhanger,23072.0,0.043385922330097,0.9566140776699028
1910,the peddler,67394.0,0.0491735169302905,0.9508264830697096
1910,the pharmacist,60766.0,0.0280749103116874,0.9719250896883126
1910,the photographer,26860.0,0.1080789277736411,0.8919210722263589
1910,the physician,140010.0,0.0501321334190415,0.9498678665809585
1910,the physicist,100.0,0.0,1.0
1910,the pilot,100.0,0.0,1.0
1910,the plasterer,50040.0,0.0020183852917665,0.9979816147082334
1910,the plumber,157039.0,0.0019103534790720002,0.9980896465209281
1910,the police,84977.0,0.004718923944126,0.9952810760558739
1910,the porter,118420.0,0.0093058604965377,0.9906941395034624
1910,the postmaster,25076.0,0.3480618918487797,0.6519381081512203
1910,the professor,24277.0,0.2146064175969024,0.7853935824030975
1910,the proprietor,1910672.0,0.0599338871349975,0.9400661128650025
1910,the psychologist,100.0,1.0,0.0
1910,the retired,102514.0,0.08612482197553499,0.9138751780244648
1910,the sailor,66594.0,0.0015166531519356,0.9984833468480644
1910,the sales,1402855.0,0.2559409204800211,0.7440590795199788
1910,the salesperson,157970.0,0.7923529784136228,0.2076470215863771
1910,the scientist,17255.0,0.0291509707331208,0.9708490292668792
1910,the secretary,347652.0,0.7859497428462946,0.21405025715370538
1910,the setter,20563.0,0.0,1.0
1910,the sheriff,10528.0,0.009498480243161,0.9905015197568388
1910,the shoemaker,61578.0,0.0700412484978401,0.92995875150216
1910,the smith,56868.0,0.0052929591334318,0.9947070408665682
1910,the soldier,109889.0,0.0009100091910928,0.9990899908089071
1910,the statistician,1004.0,0.0,1.0
1910,the stereotyper,4811.0,0.0625649553107462,0.9374350446892538
1910,the student,230316.0,0.4729198145157088,0.5270801854842911
1910,the surgeon,140010.0,0.0501321334190415,0.9498678665809585
1910,the surveyor,10120.0,0.0,1.0
1910,the tailor,228343.0,0.1989244250973316,0.8010755749026683
1910,the teacher,570201.0,0.7957860473762761,0.2042139526237239
1910,the teamster,425884.0,0.0049426604427496,0.9950573395572503
1910,the technician,4615.0,0.1302275189599133,0.8697724810400866
1910,the therapist,5321.0,0.4143957902649878,0.5856042097350123
1910,the toolmaker,20563.0,0.0,1.0
1910,the tradesperson,1891470.0,0.1539834097289409,0.846016590271059
1910,the typesetter,137046.0,0.1178655342001955,0.8821344657998045
1910,the unemployed,12136.0,0.2727422544495715,0.7272577455504284
1910,the upholsterer,21367.0,0.032901202789348,0.967098797210652
